,index,word,frequency
283,1674,отой,4500
284,110,боятися,4491
285,618,директор,4478
286,2509,сюди,4467
287,2648,тіло,4466
288,1178,кімната,4442
289,1065,князь,4435
290,2866,школа,4428
291,438,газета,4422
292,2996,їх,4415
293,2396,справжній,4397
294,1614,одразу,4365
295,996,зі,4345
296,1280,мама,4339
297,869,зв,4338
298,2369,спати,4337
299,2329,слід,4332
300,554,давно,4313
301,2908,явитися,4305
302,763,забути,4298
303,2985,історія,4291
304,1256,література,4281
305,1314,микола,4266
306,1274,маленький,4257
307,1276,мало,4236
308,1230,людський,4234
309,2223,різний,4234
310,429,вітер,4229
311,482,головний,4225
312,310,вогонь,4224
313,2579,тихо,4196
314,772,завод,4139
315,1146,кров,4138
316,682,дружина,4131
317,2758,хотітися,4117
318,1582,область,4114
319,1329,мить,4113
320,2882,шукати,4108
321,1493,начальник,4078
322,2220,рідний,4076
323,323,ворог,4076
324,320,воля,4069
325,2051,професор,4060
326,636,довестися,4052
327,1792,повинний,4042
328,123,бувати,4042
329,264,вирішити,4031
330,1841,показати,4026
331,2522,сісти,4023
332,1463,написати,4010
333,2823,читати,4005
334,2553,театр,3994
335,1963,праця,3963
336,2862,широкий,3963
337,2407,ставати,3962
338,670,досі,3950
339,1474,народний,3936
340,1226,любов,3931
341,653,доля,3891
342,1134,краще,3878
343,1339,мовчати,3876
344,601,деякий,3868
345,2927,якось,3865
346,155,важко,3863
347,1822,подивитися,3859
348,1060,книга,3853
349,1566,німецький,3852
350,1740,перець,3844
351,753,жодний,3839
352,1691,палець,3826
353,2921,язок,3797
354,1021,капітан,3782
355,1806,повітря,3782
356,457,герой,3763
357,2995,їсти,3762
358,2427,статися,3745
359,665,досить,3726
360,2561,темний,3704
361,1327,мистецтво,3702
362,2046,проте,3695
363,7,автор,3687
364,154,важкий,3677
365,1127,край,3675
366,1709,партія,3634
367,2093,підійти,3627
368,1923,потрібний,3605
369,422,вірити,3604
370,1748,петро,3588
371,556,далекий,3587
372,2190,роман,3585
373,1793,повний,3571
374,204,вести,3550
375,208,вечір,3550
376,2887,щастя,3546
377,548,гість,3543
378,659,допомогти,3540
379,1147,крок,3533
380,1941,почути,3531
381,2636,туди,3525
382,2259,світло,3520
383,1937,починати,3484
384,1576,ніякий,3468
385,698,дух,3449
386,24,американський,3435
387,1080,коло,3423
388,2457,страшний,3416
389,1413,навколо,3411
390,2205,рух,3398
391,1565,німець,3381
392,1762,план,3370
393,949,значити,3361
394,1943,почуття,3350
395,557,далеко,3347
396,2617,третій,3346
397,1756,питання,3342
398,2721,фільм,3334
399,1622,ой,3325
400,2945,ятати,3307
401,1914,поставити,3293
402,173,вважати,3281
403,1877,помітити,3276
404,2954,єдиний,3273
405,1047,кинути,3266
406,913,зелений,3265
407,988,зупинитися,3249
408,2110,рада,3243
409,1153,крізь,3237
410,642,додому,3235
411,2800,частина,3235
412,2843,чужий,3226
413,2348,солдат,3223
414,1763,планета,3186
415,806,залишитися,3180
416,2195,російський,3172
417,1588,образ,3161
418,2792,цілком,3150
419,968,золотий,3140
420,2735,хвиля,3133
421,1659,особливо,3127
422,238,викликати,3123
423,2119,радість,3117
424,1437,назад,3113
425,2180,розповідати,3109
426,2744,хліб,3103
427,1048,кинутися,3096
428,189,величезний,3093
429,2034,промовити,3066
430,1680,оце,3061
431,1671,отже,3054
432,1488,наука,3053
433,1507,невже,3053
434,1681,оцей,3050
435,2328,сльоза,3045
436,1950,поїхати,3042
437,1714,певний,3033
438,1956,право,3028
439,425,вірш,3026
440,142,бій,3019
441,165,василь,3003
442,394,відповідати,2997
443,2924,якби,2991
444,2160,робітник,2984
445,523,груди,2982
446,453,генерал,2968
447,74,бити,2959
448,2964,ідея,2955
449,2352,сон,2948
450,1275,малий,2945
451,2752,холодний,2945
452,2133,раніше,2943
453,1154,крім,2941
454,739,ждати,2938
455,390,відомий,2926
456,2828,чого,2924
457,2402,співати,2913
458,1242,лікар,2912
459,658,допомога,2905
460,1453,намагатися,2902
461,1580,обидва,2886
462,396,відповідь,2885
463,1845,покласти,2876
464,316,володимир,2850
465,355,всякий,2849
466,1570,ніс,2847
467,1757,питати,2837
468,1026,картина,2791
469,2801,часто,2773
470,1105,корабель,2773
471,1135,кращий,2771
472,1289,марія,2770
473,1061,книжка,2768
474,2711,форма,2761
475,894,згадати,2760
476,147,більший,2756
477,2027,пройти,2754
478,958,знов,2747
479,531,губа,2746
480,2011,приїхати,2741
481,1161,культура,2739
482,734,жаль,2731
483,610,дивний,2730
484,624,дмитро,2720
485,2745,хмара,2719
486,2549,творчість,2716
487,1336,мовити,2714
488,36,армія,2712
489,463,глибокий,2711
490,1145,кричати,2707
491,956,зникнути,2705
492,1525,немов,2696
493,408,відчути,2692
494,352,встигти,2692
495,367,вухо,2683
496,520,гроші,2682
497,1915,постать,2680
498,1196,ледве,2679
499,2228,річка,2675
500,2375,спина,2672
501,211,взагалі,2671
502,865,зброя,2667
503,333,впасти,2666
504,938,знайомий,2662
505,1831,поезія,2637
506,2961,іванович,2634
507,510,грати,2633
508,416,вік,2629
509,1051,київський,2622
510,558,даль,2622
511,2837,чотири,2608
512,2238,само,2600
513,254,випадок,2592
514,1604,одержати,2589
515,1830,подія,2588
516,2339,сміятися,2584
517,592,держава,2584
518,2182,розповісти,2583
519,407,відчувати,2582
520,661,дорогий,2577
521,1585,обов,2577
522,2517,сім,2571
523,985,зуб,2563
524,27,андрій,2556
525,579,двір,2548
526,1203,летіти,2547
527,2498,схожий,2540
528,449,гарячий,2540
529,1995,принести,2537
530,2437,степан,2533
531,2319,слава,2533
532,888,звідки,2522
533,2387,спокійно,2517
534,1686,павло,2510
535,774,завтра,2505
536,626,дніпро,2501
537,1899,поруч,2499
538,2538,тато,2498
539,421,віра,2495
540,1214,лишитися,2491
541,2821,чистий,2488
542,1491,національний,2486
543,2900,юнак,2484
544,1340,мовчки,2481
545,793,закон,2472
546,930,змогти,2471
547,145,біль,2467
548,418,віктор,2465
549,2971,інженер,2461
550,791,зайти,2451
551,2184,розум,2450
552,855,захід,2441
553,2626,тримати,2439
554,702,дядько,2435
555,199,веселий,2435
556,139,бігти,2434
557,1253,літак,2431
558,1324,мир,2427
559,2489,сучасний,2418
560,2520,сірий,2398
561,1194,легко,2393
562,2424,старший,2390
563,2132,ранок,2388
564,2699,факт,2388
565,1435,надія,2383
566,2085,підняти,2377
567,2342,сніг,2374
568,2756,хороший,2373
569,1422,навіщо,2362
570,2393,спочатку,2355
571,2767,художник,2347
572,2000,природа,2346
573,459,геть,2346
574,2760,хоча,2344
575,2274,сергій,2339
576,415,військовий,2334
577,756,журнал,2327
578,2681,уряд,2324
579,2743,хлопчик,2316
580,1700,папір,2306
581,2768,художній,2305
582,334,вперед,2304
583,1639,он,2303
584,2418,станція,2299
585,1069,козак,2296
586,882,звичайний,2296
587,2365,союз,2288
588,2650,тінь,2287
589,295,влада,2274
590,863,збиратися,2272
591,2232,сад,2262
592,1377,музика,2262
593,2293,синій,2261
594,1331,михайло,2258
595,2189,роль,2251
596,593,державний,2249
597,1758,пити,2245
598,815,замість,2245
599,2606,трава,2244
600,1882,понад,2239
601,2841,чудовий,2232
602,1452,належати,2231
603,445,гаразд,2230
604,2246,святий,2229
605,2975,інститут,2229
606,574,двадцять,2227
607,2436,степ,2226
608,2942,ясно,2222
609,2045,простір,2219
610,1735,перемога,2219
611,382,віддати,2217
612,1323,минути,2217
613,1010,кабінет,2211
614,2141,революція,2210
615,1935,початок,2210
616,0,аби,2210
617,1646,організація,2209
618,1449,наказ,2207
619,2041,простий,2205
620,1049,кишеня,2200
621,1365,москва,2184
622,1539,нехай,2183
623,2006,приходити,2180
624,597,десять,2179
625,1687,падати,2176
626,2824,читач,2175
627,1005,зітхнути,2175
628,2566,теплий,2171
629,2578,тихий,2169
630,419,вільний,2168
631,1538,нести,2162
632,1345,можливо,2154
633,1667,отак,2153
634,970,зоря,2151
635,767,завдання,2149
636,1387,мільйон,2148
637,525,група,2144
638,838,засміятися,2141
639,506,готовий,2139
640,643,дозволити,2139
641,2468,стільки,2139
642,2503,сцена,2138
643,496,город,2137
644,2719,фронт,2134
645,1934,початися,2134
646,1172,кущ,2133
647,2580,тиша,2130
648,1041,керівник,2128
649,2211,ряд,2128
650,993,зустріч,2127
651,1799,повідомити,2125
652,126,будь,2123
653,1504,небудь,2122
654,2967,імператор,2117
655,652,долоня,2115
656,335,вперше,2114
657,2512,сідати,2111
658,1023,карбованець,2107
659,2574,тиждень,2105
660,2827,човен,2105
661,2398,спробувати,2105
662,2260,світовий,2104
663,2548,творчий,2100
664,371,вчений,2096
665,2266,секретар,2091
666,1676,офіцер,2091
667,1787,повертатися,2082
668,2959,єса,2080
669,1725,передати,2077
670,960,зняти,2076
671,1920,потрапити,2075
672,414,військо,2074
673,671,дочка,2074
674,2785,цікавий,2072
675,1517,незабаром,2068
676,2686,успіх,2068
677,1817,подати,2064
678,222,вигляд,2061
679,1450,наказати,2060
680,826,запитання,2056
681,1575,ніяк,2056
682,2415,стан,2052
683,717,дістати,2052
684,2736,хворий,2051
685,639,доводитися,2050
686,2525,табір,2049
687,1079,колишній,2047
688,2537,тарас,2046
689,1811,поглянути,2043
690,1912,поспішати,2039
691,302,вміти,2035
692,1432,надто,2034
693,991,зустріти,2026
694,245,вимагати,2024
695,2886,щасливий,2022
696,1440,називати,2020
697,2560,тема,2018
698,1512,негайно,2015
699,2941,ясний,2014
700,2284,сестра,2010
701,1019,камінь,2009
702,2079,підвестися,2007
703,721,діяти,2003
704,673,дощ,2000
705,715,дім,1999
706,719,дія,1995
707,1016,кам,1995
708,2912,язаний,1992
709,1902,поріг,1990
710,501,господарство,1990
711,514,григорій,1989
712,1662,острів,1987
713,1632,олександр,1987
714,2982,існувати,1985
715,2428,стаття,1985
716,903,здатися,1984
717,45,баба,1981
718,1609,однак,1980
719,2360,сотня,1977
720,1867,політичний,1975
721,2830,чоло,1972
722,1288,марта,1971
723,225,вигукнути,1969
724,1304,мертвий,1964
725,1784,повернути,1961
726,1337,мовляв,1958
727,1987,прийняти,1956
728,129,будівництво,1956
729,1910,посміхнутися,1956
730,2977,інше,1953
731,1743,перше,1952
732,2671,умова,1951
733,1113,короткий,1945
734,1968,прекрасний,1943
735,289,виявитися,1939
736,1122,котрий,1935
737,1761,плакати,1934
738,2248,святослав,1930
739,1842,показувати,1929
740,2515,сільський,1927
741,1132,краса,1920
742,1964,працівник,1918
743,540,густий,1917
744,2431,створити,1916
745,436,гадати,1916
746,2344,собака,1914
747,2168,розвиток,1913
748,2836,чорт,1908
749,504,гострий,1906
750,2311,скоро,1906
751,2198,рот,1905
752,2456,страх,1903
753,2779,церква,1901
754,2825,член,1899
755,2442,сто,1895
756,2914,язати,1880
757,1391,міністр,1880
758,1269,майстер,1878
759,1464,наприклад,1878
760,214,взятися,1877
761,1567,німеччина,1877
762,977,зразу,1874
763,2612,трапитися,1874
764,1346,можливість,1874
765,401,відразу,1874
766,1240,ліжко,1874
767,1169,куток,1872
768,2364,соціалістичний,1869
769,1627,окремий,1869
770,2143,редакція,1868
771,1859,польський,1867
772,391,відомо,1865
773,1057,клуб,1864
774,1439,назвати,1863
775,1322,минулий,1862
776,2727,характер,1861
777,305,вночі,1860
778,1302,менше,1859
779,1089,командир,1857
780,876,звернутися,1856
781,596,десяток,1856
782,1637,ольга,1854
783,2338,сміх,1851
784,2151,риба,1850
785,1174,кілометр,1847
786,1829,подібний,1847
787,1731,переклад,1846
788,1706,партизан,1846
789,805,залишити,1843
790,782,загін,1841
791,2488,сухий,1840
792,2472,суд,1839
793,1036,квіти,1839
794,1163,куля,1838
795,896,згадувати,1836
796,641,додати,1834
797,2294,система,1834
798,2285,сивий,1827
799,2662,удар,1825
800,2563,темрява,1820
801,1188,ласка,1813
802,1306,мета,1813
803,1642,опинитися,1811
804,2716,французький,1809
805,2676,управління,1807
806,2056,прочитати,1804
807,176,вгору,1799
808,2015,провести,1798
809,1655,особа,1797
810,2834,чомусь,1797
811,2384,сподіватися,1794
812,2773,цар,1794
813,1514,недавно,1792
814,1292,матеріал,1790
815,776,загальний,1790
816,1086,коліно,1789
817,1942,почутися,1787
818,778,загинути,1786
819,1966,представник,1783
820,2973,іноді,1780
821,1947,пояснити,1777
822,2208,рушити,1776
823,1343,могутній,1773
824,111,боєць,1770
825,447,гарний,1763
826,287,вищий,1759
827,647,доки,1756
828,2452,сторінка,1754
829,500,господар,1749
830,2499,схопити,1748
831,909,здоров,1737
832,1537,несподівано,1737
833,46,бабуся,1734
834,2178,розмовляти,1733
835,2970,інакше,1728
836,1341,могила,1727
837,530,гріш,1727
838,1781,побігти,1722
839,798,закінчити,1720
840,462,глибина,1718
841,1483,наступний,1717
842,1229,людство,1716
843,383,відділ,1716
844,2253,свіжий,1714
845,1405,міцний,1712
846,1447,найкращий,1712
847,1492,нація,1711
848,50,бажання,1710
849,2359,сорочка,1705
850,1034,квартира,1704
851,1166,купити,1700
852,2300,скеля,1700
853,1510,невідомий,1697
854,2385,спокій,1695
855,499,горіти,1689
856,82,близько,1688
857,2896,щока,1685
858,907,здивуватися,1683
859,657,допомагати,1681
860,1257,літературний,1680
861,1547,нині,1680
862,804,залишатися,1678
863,1424,нагадувати,1678
864,1369,мрія,1676
865,535,гукнути,1674
866,2021,продовжувати,1674
867,621,дитячий,1673
868,1438,назва,1673
869,761,забрати,1671
870,1003,зірка,1671
871,95,божий,1671
872,1142,крило,1670
873,325,ворота,1670
874,1444,найбільше,1668
875,2583,тобто,1667
876,2595,тонкий,1665
877,319,волосся,1665
878,1901,порядок,1662
879,2857,швидше,1662
880,1044,кидати,1662
881,2805,черга,1659
882,1445,найбільший,1659
883,2777,центр,1659
884,25,англійський,1658
885,61,батьківщина,1650
886,106,боротися,1649
887,617,дим,1648
888,578,двоє,1648
889,1505,невеликий,1647
890,1683,очевидно,1647
891,1549,но,1645
892,681,дружба,1644
893,2811,честь,1644
894,1140,крик,1642
895,2864,шия,1639
896,1581,обласний,1636
897,1893,пора,1630
898,1193,легкий,1630
899,202,весна,1630
900,1907,послати,1630
901,494,горе,1629
902,2147,республіка,1629
903,2244,свобода,1626
904,2470,суворий,1623
905,1053,клас,1621
906,1321,минуле,1619
907,356,всі,1615
908,2947,ятий,1614
909,1290,маса,1614
910,1803,повільно,1610
911,1672,ото,1609
912,720,діяльність,1608
913,242,виконувати,1607
914,284,вихід,1606
915,850,заходити,1606
916,2910,являтися,1603
917,200,весело,1602
918,900,згодом,1601
919,2817,чимало,1595
920,1852,полковник,1593
921,2826,чобіт,1592
922,2976,інтерес,1590
923,1201,ленін,1588
924,1658,особливий,1586
925,32,ані,1585
926,179,вдатися,1582
927,178,вдарити,1575
928,1506,невеличкий,1575
929,386,відкрити,1574
930,1553,номер,1573
931,1481,настрій,1572
932,2251,свідомість,1571
933,1578,обережно,1570
934,2270,селянин,1569
935,38,артем,1569
936,1356,молодь,1568
937,2417,становище,1568
938,1310,метр,1565
939,2007,причина,1563
940,277,виступати,1563
941,1264,майбутній,1562
942,75,битися,1561
943,1973,прибути,1557
944,2053,проходити,1555
945,2984,історичний,1555
946,1489,науковий,1553
947,85,блискучий,1552
948,1530,неначе,1552
949,464,глибоко,1551
950,1804,повірити,1551
951,2128,ракета,1549
952,256,випити,1549
953,1247,лінія,1545
954,2194,рости,1539
955,1291,мат,1537
956,2102,пісок,1534
957,2083,підлога,1531
958,1952,правий,1530
959,2289,сильний,1528
960,2185,розумний,1524
961,2986,істота,1523
962,1210,лице,1520
963,2386,спокійний,1519
964,2408,ставити,1518
965,1072,колгоспний,1515
966,2368,спасибі,1514
967,2013,проблема,1513
968,296,власне,1511
969,2645,тяжкий,1509
970,2865,шкода,1508
971,1073,колгоспник,1506
972,2196,росія,1506
973,1197,ледь,1505
974,379,відбуватися,1501
975,1939,почувати,1501
976,611,дивно,1498
977,1263,майбутнє,1496
978,1554,носити,1494
979,1442,назустріч,1493
980,625,дно,1492
981,1141,крикнути,1492
982,2917,язик,1489
983,886,звук,1487
984,1813,погодитися,1486
985,2691,участь,1484
986,1415,навпаки,1483
987,726,екран,1480
988,2060,прямо,1480
989,1876,поміж,1478
990,948,значення,1476
991,1765,платон,1476
992,1237,лівий,1476
993,2647,тікати,1474
994,2693,учень,1473
995,1853,половина,1471
996,1628,оксана,1466
997,934,зміна,1461
998,2315,скрізь,1454
999,2772,хід,1454
1000,1155,крісло,1453
1001,706,дівчинка,1452
1002,467,глядач,1450
1003,889,звідси,1449
1004,1096,комуніст,1449
1005,871,звати,1448
1006,1185,лава,1446
1007,1770,пливти,1445
1008,1300,межа,1445
1009,2696,уявити,1444
1010,860,збагнути,1443
1011,1890,попросити,1443
1012,1896,поранений,1442
1013,2794,ціна,1442
1014,2540,таємниця,1441
1015,2091,підходити,1441
1016,357,втекти,1438
1017,1618,озеро,1438
1018,1993,приміщення,1437
1019,2905,юрій,1437
1020,1670,отець,1436
1021,2225,ріка,1435
1022,240,виконати,1434
1023,998,зібратися,1434
1024,2067,пустити,1432
1025,1858,полум,1432
1026,910,здоровий,1432
1027,2501,схід,1431
1028,2464,студент,1431
1029,2050,протягом,1428
1030,2480,сумнів,1428
1031,1259,літо,1427
1032,2061,прізвище,1427
1033,1888,попереду,1425
1034,649,документ,1422
1035,2737,хвороба,1420
1036,752,жовтий,1420
1037,684,дрібний,1419
1038,153,вагон,1418
1039,2993,їзд,1416
1040,2778,центральний,1416
1041,280,витримати,1415
1042,1938,починатися,1414
1043,2687,уста,1414
1044,1395,містер,1413
1045,2586,товариство,1413
1046,632,добро,1413
1047,2627,триматися,1411
1048,856,західний,1410
1049,1749,петрович,1410
1050,1212,лишатися,1409
1051,1623,океан,1409
1052,583,дев,1409
1053,2057,прошепотіти,1408
1054,2818,чин,1405
1055,942,знак,1404
1056,1236,лягти,1403
1057,2788,цікаво,1401
1058,125,будувати,1400
1059,709,дізнатися,1400
1060,432,вічний,1399
1061,286,вище,1399
1062,1394,міст,1398
1063,509,гра,1398
1064,2534,танк,1395
1065,1818,податися,1395
1066,2939,яскравий,1394
1067,609,дивлячись,1394
1068,2247,свято,1393
1069,616,дикий,1393
1070,712,дійти,1393
1071,2889,щирий,1392
1072,1702,пара,1392
1073,2698,фабрика,1391
1074,1202,леся,1389
1075,376,вчитися,1389
1076,4,автомат,1382
1077,33,апарат,1381
1078,339,враження,1379
1079,635,довести,1379
1080,2584,тов,1379
1081,2799,часом,1379
1082,2635,трудящий,1377
1083,2485,сусід,1377
1084,969,золото,1377
1085,1211,лиш,1376
1086,2434,стежка,1375
1087,411,віз,1374
1088,2684,усміхнутися,1372
1089,380,відбутися,1372
1090,2433,стежити,1370
1091,2703,фашист,1369
1092,2062,птах,1369
1093,890,звідти,1369
1094,807,залізний,1368
1095,2458,страшно,1365
1096,1268,майор,1365
1097,1869,поліція,1364
1098,917,земний,1364
1099,40,артіль,1363
1100,2303,склад,1362
1101,2990,іще,1359
1102,332,воїн,1357
1103,169,вася,1356
1104,2118,радісно,1354
1105,336,вплив,1352
1106,1690,палац,1351
1107,2036,промінь,1350
1108,1164,купа,1346
1109,2258,світлий,1345
1110,359,втратити,1344
1111,731,енергія,1343
1112,1262,магазин,1343
1113,1311,меч,1342
1114,2665,узяти,1341
1115,1207,листя,1339
1116,1790,повести,1339
1117,1406,міцно,1339
1118,1063,княгиня,1337
1119,1273,мал,1337
1120,622,дихати,1333
1121,1832,поема,1333
1122,330,воєвода,1333
1123,1119,космічний,1332
1124,251,винний,1330
1125,2932,ян,1328
1126,1990,приклад,1327
1127,1668,отакий,1327
1128,8,ага,1321
1129,2326,служити,1321
1130,1949,поїзд,1319
1131,1348,мозок,1318
1132,121,брова,1317
1133,306,внутрішній,1315
1134,1807,поганий,1315
1135,1808,погано,1314
1136,377,вчора,1313
1137,1730,перейти,1313
1138,217,вибух,1312
1139,1976,привести,1312
1140,2467,стілець,1312
1141,1986,приймати,1309
1142,435,га,1307
1143,68,безсмертний,1307
1144,2487,суть,1307
1145,340,враз,1307
1146,1159,кулак,1306
1147,172,вбити,1304
1148,2218,рід,1303
1149,2637,туман,1303
1150,1654,основний,1303
1151,846,зате,1302
1152,1399,місцевий,1301
1153,303,вниз,1300
1154,101,бомба,1299
1155,1824,подобатися,1298
1156,2017,програма,1297
1157,600,дещо,1293
1158,590,дерев,1293
1159,2306,складний,1292
1160,1108,коридор,1291
1161,522,груда,1290
1162,2392,спосіб,1288
1163,2229,рішення,1288
1164,307,вовк,1287
1165,555,давній,1286
1166,1836,поза,1285
1167,2174,розказати,1285
1168,1866,політика,1283
1169,2850,шапка,1283
1170,1615,одяг,1281
1171,22,америка,1281
1172,1870,померти,1280
1173,1820,подвір,1280
1174,858,заявити,1279
1175,2856,швидкість,1278
1176,1392,міра,1278
1177,703,дякувати,1277
1178,2876,шофер,1276
1179,1088,команда,1269
1180,1911,посмішка,1269
1181,344,врятувати,1269
1182,1199,лейтенант,1268
1183,1180,кіно,1267
1184,2108,піч,1266
1185,1272,максим,1266
1186,2994,їздити,1265
1187,1715,певно,1265
1188,2462,стріляти,1265
1189,796,закричати,1265
1190,1390,міністерство,1264
1191,1643,оповідання,1263
1192,2024,проект,1262
1193,880,звикнути,1261
1194,2154,риса,1261
1195,627,доба,1260
1196,324,ворожий,1259
1197,2095,пізно,1258
1198,488,голубий,1258
1199,2167,розв,1257
1200,2622,тривога,1257
1201,737,жах,1255
1202,1157,кудись,1255
1203,20,актор,1254
1204,651,долина,1254
1205,1024,карл,1253
1206,2704,фашистський,1252
1207,2449,століття,1251
1208,1500,небезпека,1250
1209,1959,прагнути,1249
1210,1176,кількість,1247
1211,2127,районний,1245
1212,47,багатий,1245
1213,2717,франція,1245
1214,2594,тон,1244
1215,1123,кохання,1243
1216,833,запропонувати,1242
1217,2780,цех,1242
1218,1597,обіцяти,1242
1219,1055,кликати,1242
1220,2715,франко,1241
1221,2656,уважно,1241
1222,1224,любий,1241
1223,2625,тридцять,1240
1224,2724,хазяїн,1238
1225,156,важливий,1237
1226,1076,колесо,1235
1227,844,засіб,1235
1228,1100,комітет,1235
1229,423,вірний,1234
1230,1383,мчати,1234
1231,1921,потреба,1234
1232,762,забувати,1233
1233,351,встати,1232
1234,272,вистава,1231
1235,2723,ха,1230
1236,2885,шість,1229
1237,780,заговорити,1229
1238,1102,контора,1228
1239,2840,чудо,1225
1240,1209,лихо,1224
1241,937,зміст,1223
1242,1363,морський,1222
1243,843,заступник,1221
1244,2706,федя,1220
1245,2895,щойно,1220
1246,252,вино,1220
1247,2928,якраз,1219
1248,1593,обід,1219
1249,1097,комуністичний,1218
1250,276,виступ,1216
1251,992,зустрітися,1216
1252,741,жертва,1215
1253,1410,наближатися,1213
1254,368,входити,1213
1255,614,дивуватися,1212
1256,1358,молоко,1211
1257,2863,широко,1211
1258,957,знищити,1210
1259,696,дурний,1209
1260,1617,озватися,1209
1261,519,громадянин,1209
1262,140,біда,1209
1263,1926,потік,1208
1264,1898,портрет,1207
1265,342,вранці,1206
1266,2055,процес,1205
1267,1014,казка,1205
1268,2162,родина,1201
1269,1431,надзвичайно,1201
1270,2674,упасти,1200
1271,1296,махнути,1199
1272,2890,щиро,1199
1273,39,артист,1199
1274,1851,полк,1197
1275,1560,ніде,1197
1276,2478,сумний,1196
1277,1636,олесь,1196
1278,81,близький,1195
1279,79,ближче,1195
1280,1961,прапор,1194
1281,2604,точно,1192
1282,1944,пощастити,1192
1283,2164,рожевий,1192
1284,2012,пробачити,1188
1285,2026,прозорий,1188
1286,663,досвід,1187
1287,906,здивовано,1185
1288,1712,пахнути,1185
1289,161,варвара,1184
1290,1184,лабораторія,1182
1291,2879,штат,1182
1292,2694,учитель,1182
1293,1231,лютий,1181
1294,2104,піт,1180
1295,2140,революційний,1180
1296,2405,срср,1178
1297,1850,полетіти,1178
1298,2003,прислухатися,1178
1299,1562,ніжний,1178
1300,141,бідний,1178
1301,365,вус,1178
1302,2448,столиця,1177
1303,2893,щодня,1177
1304,1897,порожній,1174
1305,1215,лоб,1174
1306,1900,поряд,1170
1307,1480,настати,1167
1308,2616,трест,1167
1309,2252,свідчити,1167
1310,2173,розділ,1166
1311,1603,ода,1166
1312,2112,радий,1164
1313,1187,лад,1164
1314,1846,покликати,1163
1315,2097,пізніше,1161
1316,1458,напевне,1160
1317,2852,шахта,1158
1318,1916,постріл,1157
1319,946,знаходити,1157
1320,944,знання,1155
1321,2156,робитися,1155
1322,51,бажати,1154
1323,270,високо,1153
1324,2685,усмішка,1152
1325,2484,суспільство,1152
1326,1473,народитися,1152
1327,2615,тремтіти,1151
1328,2212,рядок,1151
1329,599,дехто,1150
1330,1087,колір,1150
1331,1908,послухати,1149
1332,951,значно,1149
1333,2738,хвіст,1149
1334,96,бойовий,1149
1335,1043,кивнути,1147
